School,OFF Rating,DEF Rating,OVR Rating,OFF Rank,DEF Rank,OVR Rank
Warrenton,6.11,7.46,13.57,1,1,1
Windsor (Imperial),5.36,3.8,9.16,2,8,2
St. Dominic,4.45,4.68,9.12,3,4,3
Notre Dame (Cape Girardeau),4.3,4.45,8.75,4,5,4
Central (Park Hills),3.71,4.98,8.69,7,3,5
DeSoto,2.92,5.52,8.44,11,2,6
Boonville,3.99,3.22,7.21,6,10,7
Helias Catholic,4.09,2.8,6.89,5,15,8
Platte County,1.99,3.87,5.86,23,7,9
Richmond,2.93,2.82,5.75,10,14,10
Mexico,2.12,3.22,5.35,18,9,11
Bolivar,0.91,4.28,5.19,34,6,12
Logan-Rogersville,2.87,1.75,4.62,12,28,13
Southern Boone,2.0,2.48,4.48,20,19,14
Lutheran South,3.34,1.02,4.35,9,38,15
Festus,1.67,2.64,4.32,25,17,16
Lafayette (St. Joseph),1.99,2.18,4.17,22,23,17
Winfield,3.39,0.76,4.16,8,42,18
Orchard Farm,2.68,1.42,4.1,14,34,19
Kirksville,2.4,1.59,3.99,16,30,20
Macon,1.58,2.42,3.99,26,20,21
Benton,1.11,2.68,3.79,29,16,22
Eldon,0.53,3.16,3.68,37,11,23
Union,1.69,1.93,3.62,24,26,24
Incarnate Word Academy,2.77,0.69,3.45,13,43,25
Oak Grove,0.59,2.86,3.45,36,13,26
Monett,2.24,1.05,3.28,17,37,27
Pacific,2.0,1.17,3.16,21,35,28
Hannibal,1.57,1.58,3.15,27,31,29
Carl Junction,1.45,1.68,3.13,28,29,30
Clinton,2.01,0.97,2.97,19,40,31
Harrisonville,-0.31,2.97,2.65,45,12,32
Westminster Christian Academy,1.04,1.57,2.61,32,32,33
West Plains,1.09,1.42,2.51,30,33,34
Liberty (Wentzville),2.46,0.03,2.5,15,50,35
North County,-0.12,2.52,2.4,43,18,36
Osage,0.28,1.92,2.19,40,27,37
Grain Valley,1.02,1.12,2.14,33,36,38
Moberly,-0.35,2.41,2.06,46,21,39
Notre Dame (St. Louis),-0.42,2.26,1.84,47,22,40
Pleasant Hill,0.44,1.0,1.43,39,39,41
Nevada,0.52,0.6,1.12,38,45,42
Warrensburg,-0.9,2.0,1.09,55,24,43
Chillicothe,-1.15,1.97,0.82,60,25,44
Seneca,0.04,0.2,0.25,42,47,45
Perryville,1.06,-0.93,0.13,31,58,46
East Newton,-0.78,0.83,0.04,53,41,47
Smithville,-0.23,0.16,-0.07,44,49,48
Cassville,-0.7,0.61,-0.09,51,44,49
Cameron,0.09,-0.21,-0.12,41,52,50
Reeds Spring,-0.44,0.18,-0.26,48,48,51
St. James,-1.03,0.41,-0.62,57,46,52
Marshfield,-0.61,-0.21,-0.83,49,53,53
Fulton,-1.05,-0.92,-1.98,58,57,54
Owensville,-1.85,-0.2,-2.06,67,51,55
Sikeston,-0.96,-1.45,-2.41,56,59,56
Bishop DuBourg,0.81,-3.22,-2.41,35,73,57
Savannah,-1.63,-0.9,-2.53,66,55,58
Odessa,-0.68,-1.92,-2.6,50,63,59
St. Charles,-1.62,-1.46,-3.08,65,60,60
Duchesne,-2.65,-0.52,-3.17,75,54,61
Salem,-0.77,-2.54,-3.32,52,66,62
Buffalo,-1.2,-2.17,-3.37,62,64,63
St. Pius X (Kansas City),-2.52,-0.9,-3.42,72,56,64
Ste. Genevieve,-1.89,-1.7,-3.59,68,61,65
Excelsior Springs,-1.07,-2.62,-3.69,59,67,66
Veritas Christian Academy,-1.2,-2.94,-4.14,61,70,67
Hillcrest,-1.35,-2.8,-4.15,63,68,68
Maryville,-2.49,-1.85,-4.34,71,62,69
Potosi,-1.43,-2.93,-4.36,64,69,70
Clayton,-2.55,-2.18,-4.73,74,65,71
Affton,-1.95,-3.13,-5.08,69,71,72
Riverview Gardens,-2.77,-3.55,-6.32,76,74,73
Marshall,-3.47,-3.14,-6.61,81,72,74
Doniphan,-2.54,-4.59,-7.13,73,76,75
Aurora,-2.4,-4.89,-7.28,70,77,76
St. Clair,-2.94,-4.41,-7.35,77,75,77
Rosati-Kain,-0.79,-6.7,-7.49,54,80,78
Hollister,-3.15,-5.7,-8.85,79,78,79
Fredericktown,-3.43,-6.56,-10.0,80,79,80
O'Hara,-4.01,-10.06,-14.06,82,81,81
McCluer South-Berkeley,-3.11,-11.02,-14.12,78,83,82
Bayless,-5.54,-10.68,-16.22,83,82,83
Roosevelt,-11.68,-15.83,-27.52,87,84,84
Jennings,-10.28,-18.04,-28.32,86,86,85
University City,-8.09,-21.7,-29.79,85,87,86
Soldan International Studies,-6.25,-24.11,-30.36,84,88,87
Miller Career Academy,-15.32,-16.85,-32.17,88,85,88
