School,OFF Rating,DEF Rating,OVR Rating,OFF Rank,DEF Rank,OVR Rank
Ft. Zumwalt West,6.12,6.45,12.57,2,8,1
Blue Springs,5.19,7.0,12.19,5,2,2
Holt,5.31,6.53,11.84,4,6,3
Marquette,7.01,4.79,11.8,1,25,4
Fox,5.66,5.99,11.65,3,13,5
Francis Howell,4.55,6.13,10.68,8,12,6
Eureka,2.99,7.65,10.64,30,1,7
Kearney,5.12,5.17,10.28,6,20,8
Lee's Summit North,4.06,6.2,10.26,13,10,9
Troy Buchanan,4.55,5.66,10.21,9,17,10
Staley,3.95,6.18,10.12,14,11,11
Blue Springs South,3.52,6.58,10.1,19,4,12
Lee's Summit,3.18,6.93,10.1,23,3,13
Republic,3.24,6.53,9.77,21,5,14
Lee's Summit West,3.04,6.37,9.41,25,9,15
Washington,3.23,5.89,9.12,22,14,16
Rockwood Summit,3.53,5.49,9.02,17,18,17
Liberty North,3.03,5.87,8.89,27,15,18
Park Hill South,3.02,5.86,8.88,28,16,19
Parkway South,2.36,6.45,8.81,41,7,20
Oakville,3.53,5.1,8.63,18,22,21
Jefferson City,4.09,4.52,8.61,12,29,22
Seckman,4.76,3.69,8.46,7,38,23
Francis Howell North,4.21,4.13,8.35,10,32,24
Northwest (Cedar Hill),3.72,4.55,8.27,16,28,25
Ozark,3.01,4.85,7.86,29,24,26
Joplin,2.52,4.96,7.48,37,23,27
Ft. Zumwalt North,4.17,3.2,7.37,11,40,28
Camdenton,2.41,4.68,7.09,40,26,29
Farmington,3.03,4.0,7.03,26,35,30
Belton,2.67,4.12,6.79,35,33,31
Liberty,2.73,4.03,6.76,33,34,32
Cor Jesu Academy,2.07,4.62,6.69,46,27,33
Hillsboro,2.22,4.44,6.66,43,30,34
Poplar Bluff,2.03,4.22,6.25,48,31,35
Jackson,0.68,5.24,5.92,62,19,36
Ursuline Academy,2.44,3.37,5.81,38,39,37
Central (St. Joseph),3.29,2.45,5.75,20,46,38
Lindbergh,1.75,3.78,5.52,53,37,39
Hickman,2.74,2.76,5.5,32,45,40
Willard,0.02,5.15,5.17,68,21,41
Ft. Zumwalt South,3.93,1.21,5.14,15,58,42
Pattonville,2.08,2.93,5.01,45,41,43
Lafayette (Wildwood),2.82,2.18,5.0,31,51,44
Battle,2.53,2.44,4.97,36,47,45
Webster Groves,1.98,2.82,4.8,49,44,46
Kickapoo,1.88,2.85,4.73,50,42,47
Raymore-Peculiar,2.41,2.27,4.68,39,50,48
Webb City,2.32,2.32,4.64,42,49,49
Ritenour,0.31,3.98,4.29,65,36,50
Kirkwood,2.67,1.59,4.26,34,55,51
McDonald County,1.38,2.83,4.2,54,43,52
Nixa,1.76,2.43,4.19,52,48,53
Francis Howell Central,2.03,1.82,3.85,47,53,54
Timberland,3.16,0.66,3.83,24,63,55
Carthage,1.19,1.95,3.14,55,52,56
St. Teresa's Academy,1.08,1.72,2.8,57,54,57
St. Joseph's Academy,1.08,1.35,2.43,56,57,58
Raytown,2.21,-0.1,2.11,44,67,59
Parkway West,1.02,0.89,1.91,59,61,60
Parkway North,1.81,-0.14,1.67,51,68,61
Branson,0.83,0.7,1.54,61,62,62
Mehlville,0.19,1.07,1.26,67,59,63
Waynesville,0.55,0.28,0.83,63,65,64
Winnetonka,-0.67,1.03,0.36,70,60,65
Ft. Zumwalt East,-0.15,0.14,-0.01,69,66,66
Central (Cape Girardeau),0.39,-0.63,-0.24,64,70,67
Parkway Central,0.87,-1.36,-0.49,60,75,68
Oak Park,-2.23,1.47,-0.76,83,56,69
Lebanon,0.2,-1.05,-0.85,66,72,70
Central (Springfield),-1.57,0.65,-0.92,75,64,71
McCluer North,1.05,-2.82,-1.77,58,81,72
Rolla,-1.41,-0.46,-1.88,74,69,73
Notre Dame de Sion,-1.15,-0.86,-2.01,72,71,74
Hazelwood West,-1.37,-1.19,-2.56,73,73,75
Fort Osage,-0.93,-1.7,-2.63,71,77,76
William Chrisman,-1.6,-1.61,-3.21,77,76,77
Grandview,-1.59,-2.1,-3.69,76,79,78
Raytown South,-2.1,-2.05,-4.15,80,78,79
Nerinx Hall,-3.92,-1.33,-5.25,86,74,80
North Kansas City,-2.83,-2.71,-5.54,85,80,81
Park Hill,-2.13,-4.58,-6.71,81,82,82
Parkview,-2.23,-4.95,-7.18,82,83,83
Ladue Horton Watkins,-1.92,-6.43,-8.36,79,84,84
Hazelwood Central,-1.62,-6.94,-8.56,78,86,85
Glendale,-2.28,-6.87,-9.15,84,85,86
Hazelwood East,-6.91,-8.94,-15.85,89,87,87
McCluer,-6.01,-10.71,-16.72,87,89,88
Ruskin,-6.68,-10.22,-16.9,88,88,89
Gateway,-14.51,-20.16,-34.66,90,90,90
